date,description,source,source_link,triplets
,"**November 1998** — An allegedly leaked teletype is given to ufologist Tim Cooper from an anonymous “CIA official.” The document is sent to CIA’s “Weird Desk” among others, classified Top Secret “Jehovah” and discusses several items, including: the assassination of a Russian government source in charge of **Project Kohtpoa** (the Russian equivalent of USG SDI), tests in Kohtpoa had “hoped for positive contact but was not to be,” Russian source asking USG counterpart if results were",,,"[('Tim Cooper', 'field of work', 'ufologist')]"
1 January 1999,"Former CIA James Westwood, hired by Hal Puthoff to analyze MJ-12 documents with Robert M. Wood, suggested the MJ-12 Eisenhower Briefing Document was a fake once meant to fool the KGB.",,,"[('James Westwood', 'employer', 'CIA')]"
8 January 1999,"Bob Bigelow states in a NIDS meeting that he remains fascinated by John Petersen’s brief of “Day After” disclosure scenarios and adds there needs to be a contingency plan if it is confirmed “we are cohabiting on the Earth with non-human entities that controlled out destiny.” On this date, Hal Puthoff also connects futurist Michael Lindemann with Petersen who would create first contact scenarios with sponsorship from Joe Firmage. Bigelow remains convinced UAP is a “scenario-selecting agent” which implies humanity’s acceptance of it will determine how and when confirmation occurs.",,,"[('Michael Lindemann', 'occupation', 'futurist')]"
22 January 1999,"Executive Director of Citizens Against UFO Secrecy (CAUS) Peter Gersten files a FOIA lawsuit in a federal district court in Phoenix, AZ to release documents related to the Phoenix Lights incident and the St. Clair Triangle incident in Illinois, both were triangular UAP sightings. The Department of Defense files a motion to dismiss the suit, and assistant U.S. Attorney Richard Patrick says the DOD conducted a reasonable search for information and could not find any results.",,,"[{'head': 'Phoenix Lights incident', 'type': 'instance of', 'tail': 'triangular UAP sightings'}, ('St. Clair Triangle incident', 'instance of', 'triangular UAP sightings')]"
23 January 1999,An alleged “Burned memo” from MJ-1 to MJs 2-7 from the JFK era is sent to ufologist Tim Cooper from a source who claims he was a CIA CIA officer who worked for Jim Angleton. He states the memo did not officially exist but he took it from a fire; he also states he believes the files of **Project Majestic** and **Project Jehovah** will be pried loose and that the CIA monitors civilian UAP research to keep the community busy with disinformation. He also states the “burned memo” with directives was saved after a President Nixon SCEO ordered all MJ-12 documentation to be destroyed within the Agency.,,,"[('Jim Angleton', 'employer', 'CIA')]"
,"**March 1999** — Larry Rowlette states his father Sgt. Homer Roulette of the 603rd Air Engineering Squadron at Roswell told him about the “crash of a flying saucer” on his deathbed in March 1999. Rowlette states he was part of a cleanup detail sent to the impact site north of Roswell and that there were two other sites near Corona, NM.",,,"[('603rd Air Engineering Squadron', 'location', 'Roswell')]"
7 July 1999,"An alleged CIA source tells ufologist Tim Cooper the UFO control group ceased to exist in government in 1969 and became privately funded and was identified as **Jehovah** in 1992 and at one time was called **Zodiac**. He claims the original MJ-12 was a consolidation of two Pentagon projects **Majestic** and **Jehovah** overseen by a group of twelve institutions within military, intelligence and science; the highest classification as of the letter was termed SACRED, a follow-on to terms TRINE and UMBRA, he claims.",,,"[('Tim Cooper', 'field of work', 'ufologist')]"
3 December 1999,"The Arlington Institute (TAI), a defense industry",,,"[('Arlington Institute', 'industry', 'defense industry')]"
,"**1999** — US Navy engineer and Space Technology Transfer Consultant David Adair states he was taken to Groom Lake, Nevada to see the landing of a test rocket. Adair states when he was taken there on 20 June 1971 he was brought to a low flat hangar that was empty; the floor was a hidden elevator and he claims he was brought down 20 stories. Underground, Adair claims he was shown a “symbiotic engine” the size of a school bus whose alloys had an iridescent sheen. Adair states there was no obvious wiring on the engine and his handlers became uncomfortable when he asked where it was from; when he was angry he didn’t get an answer, the engine behaved differently, he claims. Adair suggests the engine may be able to be powered by mental thought but did not know the mechanism.",,,"[('Groom Lake', 'located in the administrative territorial entity', 'Nevada')]"
17 May 1999,SFGate writer Hal Plotkin claims sources tell him the Department of Energy is possibly involved in “fraud and deceit.” Plotkin writes that SRI’s Michael McKubre is generating heat in cold fusion experiments but the scientific community has little interest. Plotkin also claims MIT chief science writer Eugene Mallove tells him the Bush Administration’s Energy Resources Advisory Board (ERAB) mislead the executive branch when it relied on a fraudulent MIT report that ignored findings of a successful cold fusion experiment.,,,"[('Michael McKubre', 'employer', 'SRI')]"
31 July 1999,EarthTech and former CIA scientist Hal Puthoff emails former CIA Life Sciences Division analyst Kit Green and his life partner Kristin B Zimmerman about a story published in a UFO magazine by a pseudonym “Greg Halifax” about a UAP crash retrieval personnel member pseudonym “Sedge Masters.”,,,"[('Kit Green', 'employer', 'CIA')]"
,"**2000** — Ret. CDR Will Miller told attorney Peter Gerston that senior government officials such as DIA Dir. “whom I recently met on this subject” are isolated from UAP knowledge; “keepers of the secrets” reside in DOD middle management and civilian contractors like BDM, SAIC, Boeing, Lockheed and the comptrollers who monitor the flow of money to certain classified and Special Access Programs.”",,,"[{'head': 'BDM', 'type': 'industry', 'tail': 'civilian contractors'}, {'head': 'SAIC', 'type': 'industry', 'tail': 'civilian contractors'}, {'head': 'Boeing', 'type': 'industry', 'tail': 'civilian contractors'}, ('Lockheed', 'industry', 'civilian contractors')]"
24 January 2000,"Jacques Vallée writes that Bob Bigelow calls him and tells him Jim West, president of tech company SARA, had the idea to engage Congress to stimulate the creation of a new **Project Blue Book**. John Alexander and others at NIDS are seemingly made aware of the effort, as is Kathleen Hollingsworth, an assistant to Congressman Dana Rohrabacher.",,,"[('SARA', 'founded by', 'Jim West')]"
20 February 2000,Jacques Vallée states millionaire Henry Dakin owns a,,,"[('Henry Dakin', 'instance of', 'millionaire')]"
8 May 2000,"Jacques Vallée states he, Eric Davis and Hal Puthoff discuss an “attorney friend” of a former TRW employee who gathered her testimony that claims she was part of a secret reverse-engineering project called **Zodiac**. Eric has compiled his own file but it is not verifiable yet. (Note: That attorney is later suggested to be former Hughes Aircraft counsel Jeffrey W Griffith, and the **Zodiac** participant is suggested to be Mary Elizabeth Elliot).",,,"[('Jeffrey W Griffith', 'employer', 'Hughes Aircraft')]"
8 May 2000,"Vallee, Davis and Puthoff also discuss Kit Green’s claims that he was briefed at a “very high level” about three verified cases of “alien landings” in 1947, 1953 and 1984. Kit believes only half of the information in the briefing is true.",,,"[('1947', 'point in time', '1947')]"
9 May 2000,Jacques Vallée states Hal Puthoff tells him about a “story” he heard regarding a SecDef black project audit. No timeframe is given. An unnamed Gen. who was Assistant SecDef at the time found a discrepancy of “only” a few million dollars and received a briefing; it was low-level maintenance work at a private contractor entrusted with keeping “some material” from prying eyes. He was told the material was from a crashed UFO but was not being tested at the moment. On 9 June 2001 John Petersen of the Arlington Institute tells Vallee the same story.,,,"[('John Petersen', 'employer', 'Arlington Institute')]"
,"**November 2000** — Paul Czysz, WPAFB veteran and former",,,"[('Paul Czysz', 'member of', 'WPAFB')]"
,"**2001** — The Advanced Deep Space Transport Technology Assessment Group (ADST) is active, and studies exotic propulsion methods. Little is publicly available about ADST but Eric Davis states its members looked at UAP data. Hal Puthoff was also a member, as were representatives from Lockheed Martin.",,,"[('Advanced Deep Space Transport Technology Assessment Group', 'inception', '2001')]"
24 February 2001,"A story is relayed to Jacques Vallée about cattle mutilations and a US Army black program. In 1977, Deputy Sheriff Jerry Simons under orders from Sheriff Darius Carter tracked three helicopters involved in a mutilation incident to Logan-Cache Airport. As Simmons tried to block a companion plane, he felt threatened by the helicopters and a man who got out of one of the helicopters. There was a US Army marking on the bottom of one helicopter but they were otherwise unmarked; the man proclaimed he had no identification and wasn’t going to provide anything, confidently smiling when the sheriff told him to stop the mutilations. Kit Green reacted to the report while Vallee heard it and suggested it was a USG black operation.",,,"[{'head': 'Jerry Simons', 'type': 'position held', 'tail': 'Sheriff'}, ('Darius Carter', 'position held', 'Sheriff')]"
3 March 2001,"Eric Davis tells Jacques Vallée the story of **Zodiac**, which allegedly involved real people like Dale Graff who ran RV experiments at WPAFB and Jerry Rosenberg of IDA. There are a reported ten Velobind volume at WPAFB with Roswell data concerning two crashed “manta ray” shaped craft, recovered bodies, foil material and a special study done by TRW. Eric has a file on **Zodiac**.",,,"[('Dale Graff', 'employer', 'WPAFB')]"
,"**April 2001** — In a briefing document presented to some members of Congress and the intelligence community, CSETI’s founders state a covert group controls some elements of the UAP issue using proprietary projects protected by corporate NDA and illegal special access programs (SAPs) protected by USG classification. The briefing states the group is quasi-private/public and operates transnationally, and is centered in industrial “work for others” contract projects related to the application of advanced extraterrestrial technologies. Compartments of the covert group are also involved in disinformation, public deception, UAP tracking and specialized liaison groups (to media, political leaders, scientific community, corporate community, etc). The individuals involved are personnel inside IC SAPs, black units inside corporate entities and select liaisons within the international community, religious groups, etc., the briefing claims.",,,"[('public deception', 'subclass of', 'disinformation')]"
,"**April 2001** — Ex Lockheed Skunkworks, USAF and CIA contractor Don Phillips claims Lockheed has extraterrestrial technology and “tremendous technological advances” have come from their study. Phillips states Utah Sen. Orrin Hatch is “getting pretty close” to what is going on, and adds that there is “a lot” going on in Utah, including where some of “our” associate scientists are working on UAP related technologies at private laboratories.",,,"[{'head': 'Lockheed Skunkworks', 'type': 'parent organization', 'tail': 'Lockheed'}, ('Lockheed', 'subsidiary', 'Lockheed Skunkworks')]"
5 May 2001,"Jacques Vallée meets with a group including Jim Westwood, an intelligence consultant who had done extensive work for Hal Puthoff. Westwood claims to know that the MJ-12 documents are disinformation and suggests Roswell was a counterintelligence exercise designed to flush out spies. Westwood tells him a month later that “Puthoff really wants to find the hardware,” despite Westwood believing none such hardware actually existed. Westwood states an **Operation Shocker** used disinformation including false UAP data to trick Soviet Russia to believe the US had capabilities it didn’t; double agents were used for this.",,,"[('Operation Shocker', 'instance of', 'disinformation')]"
9 May 2001,"Aerospace illustrator Mark McCandlish testifies at the National Press Club in Washington, D.C. that gravity propulsion research began in the 1950s and successfully reverse engineered recovered UAP to build three USG/USG contractor-made vehicles by 1981 and was kept secret. McCandlish describes their propulsion matches early concepts by Thomas Townsend Brown using electrogravitics.",,,"[('National Press Club', 'located in the administrative territorial entity', 'Washington, D.C.')]"
,"**June 2001** — James Woodward and Thomas Mahood of California State University, and Paul March of Lockheed Martin Space Operations publish a paper on altering the mass of",,,"[{'head': 'James Woodward', 'type': 'employer', 'tail': 'California State University'}, ('Thomas Mahood', 'employer', 'California State University')]"
3 November 2001,Colm Keller reports at a NIDS meeting that more than 150 instances of black triangle sightings have been recorded including one that took off from,,,"[('NIDS', 'chairperson', 'Colm Keller')]"
17 December 2001,Colm Keller tells Jacques Vallée he finds a rare **Project Blue Book** file that shows Howard Cross from Battelle reported he witnessed a UFO on 2 October 1951 some 14 months before he wrote the Pentacle Memorandum. Cross was involved in titanium metallurgy as far back as Vannevar Bush’s war research.,,,"[('Pentacle Memorandum', 'author', 'Howard Cross')]"
,"**2002** — Author Nick Cook states Hal Puthoff (eventual **AATIP** scientist, see 25 March 2022) tells him the “evidence is pretty solid” that there are black budget aerospace programs that contravene white world understanding of the laws of physics. Puthoff states the most likely candidate for exotic propulsion is the perturbation of space-time by understanding the link between electromagnetism and gravity.",,,"[('Hal Puthoff', 'member of', 'AATIP')]"
10 January 2002,Richard Niemtzow tells Jacques Vallée he was recruited to join a secret McDonnell study on UAP but declined. This was in the 1970s.,,,"[('McDonnell', 'member of political party', 'UAP')]"
1 March 2002,"A General Exon tells Eric Davis that two types of materials were recovered from Roswell: a light material with the consistency of balsa wood that was metallic and could not be broken, and a purplish foil with burn marks that could be crumpled up and would return to its original shape. Exon says beams discovered at the crash site had inscriptions. He did not know about any bodies but says the balloon story was a cover up.",,,"[{'head': 'General Exon', 'type': 'participant in', 'tail': 'Roswell'}, {'head': 'Eric Davis', 'type': 'participant in', 'tail': 'Roswell'}, {'head': 'Roswell', 'type': 'participant', 'tail': 'General Exon'}, ('Roswell', 'participant', 'Eric Davis')]"
2 March 2002,Kit Green tells Jacques Vallée there was a network of sensors he learned of while at CIA that monitored UAP but were camouflaged as environmental monitoring stations.,,,"[('Kit Green', 'employer', 'CIA')]"
5 March 2002,"Kit Green writes to Jacques Vallée and tells him he spoke with an Air Force physician, Brig. Gen. Donald Flickinger, MD. Flickinger told Green in 1994 that years earlier he saw “alien autopsy” materials when he was the first Air Force MD to make the rank of General Officer. Flickinger worked on manned spaceflight projects and after that, worked in the VIP health program in Green’s division of the CIA. Flickinger claims the autopsy materials were real, something Green also says: “I have never believed the notes were hoaxes.” Vallee writes this is credible evidence of a secret program with access to biological materials. Days later, Eric Davis says a Lt. Col. Dr. Robert Parvin Williams is alleged to have participated in an “alien dissection”; Puthoff also gives the names Dr. Robert Crowley and Col. John Grime.",,,"[('Donald Flickinger', 'military rank', 'General Officer')]"
25 April 2002,"CMDR Will Miller writes to Eric Davis and Hal Puthoff and offers them his contractual services into research of UAP crash retrievals and entities within the government and outside of government that are “involved in that business.” Miller states he could do this without touching information that is classified. Miller also states he has particulars on a special team involved in (as a secondary mission) recovered crashed craft including the F-117; Miller states he knew the team, its successor, the parent sponsoring entity and two key officers who could provide information on UAP crash retrievals.",,,"[('Eric Davis', 'military rank', 'CMDR')]"
,"**May 2002** — Ret. Army Lt. Col. Thomas Bearden writes that he knows of several researchers working on related technology at the time: Jeff Cameron of Transdimensional Technologies (see March 2004), Hal Puthoff of EarthTech (Summer 1985), Jean-Louis Naudin of JLN Labs, James Woodward of Cal State University, Alfonso Rueda of Cal State University, Bernard Haisch of Lockheed Martin, Jonathan Campbell of NASA, Ning Li of AC Gravity (1 August 1997), Eugene Podkletnov, Hector Serrano, John Rusek, Kulikov, Corum, James Cox, Black and others.",,,"[('Jonathan Campbell', 'employer', 'NASA')]"
6 May 2002,"Jacques Vallée writes that UFO research has almost certainly been privatized in the US outside of government circles. He asks an anonymous colleague at the NIDS offices on South Polaris in Las Vegas where the effort was thought to exist. “Lockheed?” he asks, to which the colleague responds: “No, I rather suspect the Carlisle Group.”",,,"[('South Polaris', 'located in the administrative territorial entity', 'Las Vegas')]"
11 May 2002,Col. John Alexander tells Jacques Vallée he believes the Holloman UAP landing was a false cover story for a malfunctioning A-12 prototype.,,,"[('Holloman UAP landing', 'item operated', 'A-12 prototype')]"
29 June 2002,Commandant Jean Kisling tells Jacques Vallée that in the early 1950s he met “an older man with a long beard” on a private flight from New York to Paris. The man told Kisling he was with several colleagues to travel to Eastern European countries including the USSR to discuss UFOs. The man then allegedly told Kisling he was from a “secret Pentagon office” that had recovered “out of this world” material from a crash near the Mexican border close to El Paso. No other details were given.,,,"[('El Paso', 'part of', 'Mexican border')]"
29 July 2002,"BBC News publishes a story that claims researchers at Boeing are using the work of Russian scientist Eugene Podkletnov (see 4 February 2020) to create an antigravity device. BBC reports the project is run in “top secret” by Boeing Phantom Works, and states documents they obtained show it occurs in a **Project GRASP** (Gravity Research Applied to Space Propulsion).",,,"[{'head': 'Boeing', 'type': 'subsidiary', 'tail': 'Boeing Phantom Works'}, ('Boeing Phantom Works', 'parent organization', 'Boeing')]"
29 July 2002,"Jane’s Defense Weekly reports Boeing **Project GRASP** documents it obtains state “if gravity modification is real, it will alter the entire aerospace business.” GRASP’s objective is to explore anti-gravity and evaluate Eugene Podkletnov’s experiments. Boeing",,,"[{'head': 'GRASP', 'type': 'field of work', 'tail': 'anti-gravity'}, ('GRASP', 'field of work', 'anti-gravity')]"
1 September 2002,Jacques Vallée states a “Brian and Tina in Arizona” tell him at a meeting at NARCAP head Dick Haines’ house that they saw a large collection of UFO and USO files at Norton AFB in March 1985. They claim many reports were from the Navy and showed objects coming out of the ocean. They were told they would be taken to see “something” in a hangar at Edwards AFB but it never materialized.,,,"[('NARCAP', 'founded by', 'Dick Haines')]"
16 October 2002,"EarthTech International employee Dr. Eric Davis, author of several **AATIP** products years later, allegedly meets with VADM Thomas R. Wilson in a car outside of EG&G Special Projects in Las Vegas. Davis transcribes the interaction where he was told the following: VADM Wilson found records of a UAP reverse engineering program using technology “not of this Earth,” it was protected by a special agreement between the DOD Special Access Program Oversight Committee (SAPOC)’s Senior Review Group (SRG) and a large defense contractor he would not disclose.",,,"[('EG&G Special Projects', 'industry', 'defense contractor')]"
,"**October 2002** — A three-foot orb moves along the perimeter fences of Area 2, a weapons storage area for the Nevada Test Site (Nevada National Security Site) overseen by the Department of Energy (DOE)’s National Nuclear Security Administration (NNSA). Security teams on site chase it, and the UAP eventually outpaces the personnel. It is unlikely these NNSA UAP events have",,,"[{'head': 'Nevada Test Site', 'type': 'operator', 'tail': 'Department of Energy'}, {'head': 'Department of Energy', 'type': 'subsidiary', 'tail': 'National Nuclear Security Administration'}, ('National Nuclear Security Administration', 'parent organization', 'Department of Energy')]"
,**November 2002** — British hacker Gary McKinnon is arrested for hacking into,,,"[('Gary McKinnon', 'country of citizenship', 'British')]"
27 November 2002,The Commission on the Future of the U.S. Aerospace Industry delivers its final report to Congress; it recommends a series of public policy reforms to enable the aerospace industry to create superior technology.,,,"[('Commission on the Future of the U.S. Aerospace Industry', 'main subject', 'aerospace industry')]"
22 March 2003,Stanford professor Peter Sturrock confides to Jacques Vallée that he believes Hal Puthoff’s work on zero point energy is full of “circular arguments.” Sturrock mentions Puthoff points to the significance of the ratio e/m but failed to see that he’s also redefining mass. Sturrock says he’s sent Bernard Haisch at Lockheed Martin six questions like that but Haisch never responded. Vallee says he fails to understand Puthoff’s argument as well.,,,"[('Hal Puthoff', 'field of work', 'zero point energy')]"
3 May 2003,"Kit Green tells Jacques Vallée that a rock from Socorro, NM that allegedly had traces of metal abrasions from the landing gear of a UFO was analyzed at NASA-Goddard as early as 1964. The metal consisted of zinc and iron in an unusual ratio. Green says the samples arrived in CIA possession in 1982 and re-analyzed at Los Alamos, to which it was concluded it was an",,,"[{'head': 'NASA', 'type': 'subsidiary', 'tail': 'Goddard'}, ('Goddard', 'parent organization', 'NASA')]"
6 May 2003,"MITRE provides conference for several scientists to showcase their HFGW research including Robert M. Baker, Heinz Dehnen, Fernando Romero-Borja, Chincarini and Gianluca Gemme, Gary V Stephenson, Pankaj S Josh, Ning Li, Giorgio Fontana, Fang-Yu Li, Meng-Xi Tang, Dong-Ping She, Melvin A Lewis, Marc G Mills, M Portilla, Valentin N Rudenko, Paul A Murray, Nikolai N Gorkavyi, Glen A Robertson, Roger Clive Woods, Leonid P Grishchuk, George D Hathaway, H David Froning Jr, Terence W Barrett, Hal Puthoff, Michael Bison and Eric W Davis.",,,"[{'head': 'Chincarini', 'type': 'spouse', 'tail': 'Gianluca Gemme'}, ('Gianluca Gemme', 'spouse', 'Chincarini')]"
7 May 2003,"Former Airman First Class Charles J Hall releases a book stating he worked at Nellis AFB between 1965 and 1967 and while there was observed by “tall whites,” entities who were taller than normal humans and presumed to be extraterrestrial in origin. Hall claims Nellis has a hangar entrance for deep space craft to the northwest of Dog Bone Lake and tunnel entrances to the northwest in Pintwater Range.",,,"[('Dog Bone Lake', 'mountain range', 'Pintwater Range')]"
11 June 2003,"NASA engineer Larry Lemke tells Lockheed scientist Bernard Haisch, as relayed to Jacques Vallée, that Lemke’s father worked on advanced hardware that “seemed to have come from beyond Earth.” Lemke and other unnamed sources tell Haisch that there are now four projects dealing with UAP matters, dispersed among USG contractor facilities.",,,"[('Larry Lemke', 'employer', 'NASA')]"
,"**July 2003** — Civilian Dion Fuller claims he met “Lee” at an apartment complex in Pacific Beach, CA, after he had allegedly gone AWOL from nearby Camp Pendleton, stolen 25 pairs of night vision goggles, a pistol from Iraq, a DOD laptop and an entire truck; Fuller states Lee scrolled through allegedly classified files on the laptop in front of him marked TOP SECRET and soon after, Fuller claims three NCIS agents arrived and searched the premises, detained him for six days and threatened him before letting him go.",,,"[('Camp Pendleton', 'located in the administrative territorial entity', 'CA')]"
21 July 2003,"White House Army Signaling Agency specialist Stephen Lovekin states he received briefings concerning UAP while at Pentagon or at White House Com Center, states his colleagues discussed there were 3-5 “extraterrestrial” bodies recovered and one was alive; military was working with materials recovered including a metallic piece with symbols on it; states he",,,"[('Stephen Lovekin', 'employer', 'White House Army Signaling Agency')]"
19 August 2003,"Jacques Vallée meets with Kit Green and Kristin B Zimmerman in Detroit, MI. While at Wayne State University, Green shows Vallee a study he conducted where test subjects who believed they had communication with aliens were shown a series of slides, including one in which a photo of an “alien face” is inserted. Green claims the image was from Los Alamos National Lab. He says he was given the data “through Hal” from a series of analyses done at LANL on “live aliens” from 1950-51. Green didn’t know if the photo was real but Zimmerman admits they may have been “fed” classified materials and Green used the materials to perform research on unsuspecting subjects. Green also conducts General Motors research here, where he is employed.",,,"[('Wayne State University', 'located in the administrative territorial entity', 'Detroit, MI')]"
23 August 2003,"Jacques Vallée writes that Hal Puthoff and John Petersen of the Arlington Institute “assure” him there is only one “black UFO operation” and that it likely has to do with hardware. Vallee is confused why there would be biological data in Kit’s hands and elsewhere if this were really the case. Vallee also states former DCI William Colby told Green he “deserve\[d\] to know,” but wouldn’t confirm alien biology outright.",,,"[{'head': 'Hal Puthoff', 'type': 'employer', 'tail': 'Arlington Institute'}, ('John Petersen', 'employer', 'Arlington Institute')]"
10 September 2003,Bernard Haisch of Lockheed Martin states Hal Puthoff tried the “front door” approach to get into the secret UFO black program he believed existed. Puthoff wrote to a Pete Aldridge and Under Secretary Jacques Ganser but did not get a reply. Haisch believed the program was split into four parts and about 200 people were on the bigot lists. An unnamed individual “The General” was believed to still have access and was retired and working for an oil company when he met Puthoff at the suggestion of John Petersen.,,,"[('Bernard Haisch', 'employer', 'Lockheed Martin')]"
14 September 2003,Jacques Vallée states Hal Puthoff was a part of John Petersen and the Arlington Institute’s “semi-official” scenario exercise that included role playing in various situations of potential ET contact.,,,"[('John Petersen', 'employer', 'Arlington Institute')]"
2 October 2003,"Hal Puthoff admits to Jacques Vallée in a car that he wouldn’t tell Vallee everything about the secret black UFO program to protect one critical “deep throat” and in case Vallee is ever polygraphed. Puthoff states that the ATP Group in the 1980s, sponsored by BDM Corp. and led by Col John Alexander, was killed because “there was already another project.” Puthoff states it was “deeply black” and “somebody” didn’t want it exposed or duplicated.",,,"[{'head': 'ATP Group', 'type': 'parent organization', 'tail': 'BDM Corp.'}, ('BDM Corp.', 'subsidiary', 'ATP Group')]"
,"**March 2004** — Huntsville, AL company Transdimensional Technologies LLC states it is working on anti-gravitic technology for commercial applications and references UAP in a press release. Founder Jeff Cameron states the company is working with NASA and it is exploring transportation, military and space travel applications of its “Power Cubed” technology. The company obtains investment from local Huntsville businessmen Remigrius Shatas and Robert Asprey (founders of Cyber Corp., later Avocent), and additional investment from 2C Computing and local venture capital firm R&R Ventures, of which Asprey was also a partner. The company’s state filings are still active but its website is no longer online and it no longer provides updates to the public on its antigravity research. It was located at 906-E Bob Wallace Ave., Huntsville, AL 35801.",,,"[{'head': 'Cyber Corp', 'type': 'headquarters location', 'tail': 'Huntsville, AL'}, ('Avocent', 'headquarters location', 'Huntsville, AL')]"
6 March 2004,"Former NIDS consultant James Westwood tells Jacques Vallée there are four secret “iron post” sources that Hal Puthoff and Eric Davis deem to be unimpeachable and connected to the IC. They confirm the existence of one hidden project reverse engineering “alien”hardware. Westwood writes two are senior flag officers, one is defense industry/high OSD official and one is civilian high office of the Reagan/Clinton administrations. Two are VADM Thomas Wilson and Gen. Jack Sheehan, the other two are unnamed.",,,"[('Thomas Wilson', 'military rank', 'VADM')]"
26 March 2004,Eric Davis speaks to former Pres. George Bush Sr. on the phone about Phil Corso’s claims. Davis asks Bush if Corso could have been “mistaken” and he was,,,"[('George Bush Sr.', 'position held', 'Pres.')]"
26 March 2004,"Jacques Vallée states Eric Davis received an envelope from a source inside DIA that contained notes about “fake” MJ-12 papers to mislead ufology and notes about a secret DIA project. The notes said DIA took over a collection project in 1961 and by the early 1980s, RADM E.A. Burkhalter Jr. and his deputy Col. Roy K. Jonkers were in charge of the UAP project. Eric Davis possessed an org chart dated 1981. Dr. Jack Vorona is listed as an assistant vice director for scientific and technical intelligence.",,,"[{'head': 'Eric Davis', 'type': 'field of work', 'tail': 'RADM'}, ('Eric Davis', 'field of work', 'RADM')]"
28 March 2004,"Jacques Vallée writes that while at a meal with Kit Green, Hal Puthoff, Eric Davis and Kristin B Zimmerman, the group speculates that the four USG contractors who touch the “real” UAP project(s) are Lockheed Martin, the Aerospace Corporation, Raytheon which now owns Hughes, and Northrop-Grumman which now owns TRW.",,,"[{'head': 'Raytheon', 'type': 'owner of', 'tail': 'Hughes'}, {'head': 'Hughes', 'type': 'owned by', 'tail': 'Raytheon'}, {'head': 'Northrop-Grumman', 'type': 'owner of', 'tail': 'TRW'}, ('TRW', 'owned by', 'Northrop-Grumman')]"
,"**June 2004** — Former Assistant Secretary of Housing and Urban Development [Catherine Austin Fitts](https://home.solari.com/) writes in a paper that a “large proportion of the nation’s wealth is being illegally diverted…into secret, unaccountable channels” to support clandestine domestic military R&D. She claims that while at HUD, she came across evidence to suggest IT/accounting systems providers Lockheed Martin Information Systems, Dyncorp and AMS Inc. were responsible for the obfuscation and may have data on where missing DOD/HUD funds were siphoned to. Fitts also claims that complaints about AMS were answered by the Pentagon with its hire of IBM, but IBM in turn, subcontracted AMS, Lockheed, Dyncorp, SAIC and Accenture to manage the systems that failed a GAO audit.",,,"[{'head': 'Lockheed Martin Information Systems', 'type': 'parent organization', 'tail': 'IBM'}, ('IBM', 'subsidiary', 'Lockheed Martin Information Systems')]"
,"**August 2004** — Alleged US Army/DIA official John Maynard states Atlantic Research Corporation is deeply involved in the UAP matter. TRW, Johnson Controls and Honeywell are mentioned as well that allegedly receive money to work on highly compartmentalized waived unacknowledged Special Access Programs where only four people knew what was happening. Maynard claims some UAP information is controlled by three families: the Rockefellers, the Rothschilds and the Hapsburgs. CSETI (see 13 February 2009) was partially funded by Laurance Rockefeller.",,,"[('Laurance Rockefeller', 'family', 'Rockefellers')]"
7 August 2004,Kit Green tells Jacques Vallée that Andrew Basiago’s claims of time viewing and time travel under a **Project Pegasus** are exaggeration. Green says there was a project like what he’s describing but says it failed and it created delusions in its participants. Hal Puthoff says he had no evidence such a project existed at ARPA.,,,"[('Andrew Basiago', 'field of work', 'time travel')]"
7 August 2004,"Former NIDS contractor Jim Westwood tells Jacques Vallée that Charles Bowsher, former Comptroller General under President Reagan, states he found a “crashed UFO program” during a large audit of classified programs. Bowsher uncovered it in 1984-85, which he called a “bizarre special access program coverup which surely violated every classification, executive order, regulation, and Congressional rule.” Bowsher considered turning it over to the Department of Justice for prosecution, but an unnamed powerful individual in the DOD squashed it. Bowsher said the program had to do with an “exotic, non-Earthly vehicle.”",,,"[('Charles Bowsher', 'position held', 'Comptroller General')]"
,"**2004** — Ufologist Bill Cooper claims underground bases under control of Naval Intelligence utilize cooperation between aliens and humans in Utah, New Mexico, Arizona, Colorado and Nevada. Cooper claims some are built beneath Native American reservations for cover, something the research of Danny Casolaro into Wackenhut also seems to suggest (see 1 August 1993).",,,"[('Bill Cooper', 'field of work', 'Ufologist')]"
,"**2004** — Gen. Roger Ramey is photographed holding a typed message at AAC Fort Worth, TX after the alleged Roswell crash; it is later digitized and increased in size in 2004 and states the following: RECOVERY OPERATION WITH ROSWELL DISK AT THE; JULY 4TH. THE VICTIMS OF THE WRECK YOU FORWARDED TO THE TEAM AT FORT WORTH, TEX; ESSOR ON THE “DISK” MUST HAVE SENT TO LOS ALAMOS A\*\*\*\*\*D; \*\*\*\*URGENT POWERS ARE NEEDED SITE TWO NM ROSWELL, N. MEX; MIDDAY 509TH TOLD NEWSPAPER MEANING OF STORY AND MISSION ONLY SHOW\*\*\*\*BY WEATHER BALLOONS WOULD MAKE \*\*\*\*509 HAS LAND SURVEYOR CREWS; TEMPLE.",,,"[('AAC Fort Worth', 'located in the administrative territorial entity', 'TX')]"
,"**2004** — Jon Ferry, Marconi director, working on a cross-universe communication system and was considered an information leak having to do with a power source that was unlimited and self-sustaining.",,,"[('Jon Ferry', 'employer', 'Marconi')]"
3 November 2004,Gen. Wesley Clark says faster than light travel is possible in 2004.,,,"[('2004', 'point in time', '2004')]"
